2026-06-30 18:37 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-29 21:23 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-29 21:23 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-29 18:41 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-29 18:41 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-29 00:27 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-29 00:27 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-29 00:20 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-29 00:20 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-28 22:31 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-28 22:31 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-28 20:57 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-28 20:57 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-27 18:25 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-27 18:25 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-26 22:49 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-26 22:49 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-26 07:17 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-26 07:17 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-26 01:44 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-26 01:44 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-26 01:22 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-26 01:22 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-26 00:07 UTC | ts-test-front | failure | 530 | Cloudflare error 530 — tunnel unreachable, Mac Mini likely off
