2026-08-09 18:35 UTC | -ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-08-09 18:35 UTC | -ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-08-02 19:04 UTC | -ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-08-02 19:04 UTC | -ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-07-26 19:06 UTC | -ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-07-26 19:06 UTC | -ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-07-19 19:02 UTC | -ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-07-19 19:02 UTC | -ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-07-12 19:01 UTC | -ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-07-12 19:01 UTC | -ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-07-05 19:13 UTC | -ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-07-05 19:13 UTC | -ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-07-02 23:52 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-07-02 23:52 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-07-02 23:52 UTC | -ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-28 18:25 UTC | ts-toifood-web | success | 202 | listener accepted â€” verify write via pm2 logs
2026-06-28 18:25 UTC | ts-toifood-back | success | 202 | listener accepted â€” verify write via pm2 logs
žée
