2026-06-23 03:13 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 02:32 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 02:32 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 23:23 UTC | ts-toifood | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 23:23 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 23:22 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 23:21 UTC | ts-toifood | failure | 404 | 
2026-06-22 23:21 UTC | ts-toifood-web | failure | 404 | 
2026-06-22 23:21 UTC | ts-toifood-back | failure | 404 | 
2026-06-22 21:12 UTC | ts-toifood | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 21:12 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 21:11 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 08:05 UTC | ts-toifood | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 08:05 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 08:05 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-21 23:51 UTC | ts-toifood | success | 202 | listener accepted — verify write via pm2 logs
2026-06-21 23:51 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-21 23:50 UTC | ts-toifood-back | success | 202 | listener accepted â€” verify write via pm2 logs
žée
